Year,URBANISATION,AREA,Series,Value
2017,Camp,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Camp,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Camp,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Camp,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Camp,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Camp,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Camp,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Camp,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Camp,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Camp,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Camp,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Camp,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Camp,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Camp,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Camp,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Camp,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Camp,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Camp,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Camp,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Camp,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Camp,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Camp,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Camp,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Camp,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.8
2006,Camp,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",100.0
2007,Camp,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",100.0
2008,Camp,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.4
2009,Camp,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Camp,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",92.4
2011,Camp,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.9
2012,Camp,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",100.0
2013,Camp,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",100.0
2014,Camp,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.3
2015,Camp,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",100.0
2017,Camp,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.9
2019,Camp,Palestine,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.5
2000,Camp,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Camp,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Camp,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Camp,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Camp,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Camp,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Camp,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Camp,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Camp,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Camp,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Camp,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Camp,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Camp,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Camp,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Camp,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Camp,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Camp,Jenin,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Camp,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Camp,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Camp,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Camp,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Camp,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Camp,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Camp,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Camp,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Camp,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Camp,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Camp,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Camp,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Camp,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Camp,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Camp,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Camp,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Camp,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Camp,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Camp,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Camp,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Camp,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Camp,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Camp,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Camp,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Camp,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Camp,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Camp,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Camp,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Camp,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Camp,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Camp,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Camp,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Camp,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Camp,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Camp,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
